Image Name,Caption
ajanta_caves_38.jpg,a group of people standing in front of a building
ajanta_caves_185.jpg,the buddha statue inside the cave
ajanta_caves_59.jpg,the interior of the temple
ajanta_caves_158.jpg,the interior of the temple
ajanta_caves_97.jpg,a group of people standing in front of a building
ajanta_caves_116.jpg,the interior of the cave
ajanta_caves_121.jpg,"the ceiling of the church of santa maria de la cruz, in the city of santa cruz,"
ajanta_caves_134.jpg,a man in a white shirt and a woman in a white shirt
ajanta_caves_190.jpg,a large rock formation
ajanta_caves_54.jpg,the statue of buddha in the cave
ajanta_caves_197.jpg,the entrance to the cave
ajanta_caves_128.jpg,a statue in the cave
ajanta_caves_43.jpg,the cave of the hindu temple in india
ajanta_caves_65.jpg,a woman standing in front of a stone wall
ajanta_caves_77.jpg,"the entrance to the cave temple at elora, elora, ethiopia, africa - stock photo"
ajanta_caves_99.jpg,the entrance to the temple
ajanta_caves_132.jpg,the interior of the cave
ajanta_caves_170.jpg,the interior of the cave
ajanta_caves_100.jpg,"the ruins of the ancient city of xizhou, china - stock image"
ajanta_caves_131.jpg,the interior of the jain temple in india
ajanta_caves_141.jpg,a large group of statues in the cave
ajanta_caves_69.jpg,the inside of the cave temple
ajanta_caves_40.jpg,"the ruins of the ancient city of palen, guatemala"
ajanta_caves_72.jpg,the caves of the caves of the caves of the caves of the caves of the caves of the
ajanta_caves_200.jpg,a large rock formation
ajanta_caves_71.jpg,"the entrance to the cave, with carvings on the walls"
ajanta_caves_149.jpg,the interior of the temple
ajanta_caves_143.jpg,the temple of ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang
ajanta_caves_188.jpg,a painting of a group of men playing instruments
ajanta_caves_86.jpg,"stock photo of the kaivasi temple, kaivasi, karnataka, india"
ajanta_caves_62.jpg,the entrance to the cave
ajanta_caves_74.jpg,the facade of the ancient building
ajanta_caves_50.jpg,a map of the proposed development area
ajanta_caves_112.jpg,a wall with many paintings on it
ajanta_caves_92.jpg,"the rock cut tombs of the person, person, india"
ajanta_caves_22.jpg,"a cave in the mountains of the island of capri, capri, capri, cap"
ajanta_caves_144.jpg,the inside of the cave temple
ajanta_caves_39.jpg,"the sun sets over the rock - cut temples of hamra, hamra, india"
ajanta_caves_26.jpg,"the cliffs of the ancient city of chaakra, maharashtra"
ajanta_caves_108.jpg,a statue of a man in a cave
